ResponseId,Tiempo transcurrido,Delay12,Delay
R_VUOliaDKBeCKNy1,2:01:07,1,1
R_1hYEn668zhA44xz,2:01:09,1,1
R_11aOuIdYOQqthnW,2:01:11,1,1
R_1HbC3PCm6zDjSjQ,2:01:22,1,1
R_ys6k9GK0qKOTVCN,2:01:32,1,1
R_2qadwqbjsOZPuOL,2:04:11,1,1
R_1oI0UNs5pr8vNLt,2:04:27,1,1
R_1et8bKRHNG5N3d3,2:04:54,1,1
R_b74yUEhc9AkENVv,2:05:04,1,1
R_2QgK61absgk5Lrr,2:06:27,1,1
R_BQRYnMpEWMcx9JL,2:09:21,1,1
R_3sh1REEXrrDYzkc,2:10:07,1,1
R_ufVGu4vnkolo1CF,2:10:34,1,1
R_1Fs1b1YolkvXGfp,2:10:36,1,1
R_3r3fRZz8hlLyEs1,2:12:02,1,1
R_DCuH745ErVgMmgp,2:12:34,1,1
R_3GlVTFhm7WyAJmT,2:14:43,1,1
R_1QAicHUgG4N0cs2,2:15:18,1,1
R_ZrT0qsRNihgzii5,2:15:46,1,1
R_1CJHmnmPLFegeCS,2:15:51,1,1
R_2QJSzrSnZDI0LwU,2:16:43,1,1
R_3kLEW2VDrOj7AnO,2:17:51,1,1
R_1QAg5FNZi3yB8uu,2:18:06,1,1
R_3EhFGlRk5RxnZ7W,2:18:21,1,1
R_3q849EtEvSyENf6,2:20:27,1,1
R_1l63zHJmRX6EwEA,2:20:57,1,1
R_DOcaXUAT3Y5U3kZ,2:21:50,1,1
R_31gU28gO2PQHd9Y,2:22:44,1,1
R_25RROHhPZbZqOAW,2:23:34,1,1
R_DRYU5fHqrm2tnZn,2:29:37,1,1
R_82HJxt4I6zKOz1T,2:30:26,1,1
R_3oXc5WBMRc25rXE,2:32:40,1,1
R_22xkVZkMGqw357Q,2:33:02,1,1
R_3nB1vEgW9EULoC4,2:33:30,1,1
R_24d4hCgh84mjNsN,2:34:06,1,1
R_3Phtz2LqNt8BEzp,2:37:24,1,1
R_1M6eghWpMtw8bab,2:38:16,1,1
R_9SPFZg8QURA85gt,2:38:36,1,1
R_CaI8QeGSpASDf5n,2:38:53,1,1
R_3nwKF45TynEmst7,2:45:31,1,1
R_1hTjM2vvOBO1cKk,2:51:15,1,1
R_UDVoQnYwvxBR7xf,2:51:28,1,1
R_br9JMszNVThAZzP,2:55:08,1,1
R_1FKRgXBsx62CIZY,2:55:31,1,1
R_30uTtpOGMcjOyZM,2:56:13,1,1
R_2X4iCTi4utq1jjv,3:09:51,1,1
R_2BeShFkcsqaTU6e,3:14:12,1,1
R_1gcDv5E8rEOwwhN,3:14:43,1,1
R_2TYMZkfZcpWfown,3:23:06,1,1
R_2zUBY3FUNbNqAkL,3:28:04,1,1
R_3his5KzRxqev79T,3:29:49,1,1
R_W2QSFLyRruYwyjf,3:30:08,1,1
R_1qU2tJRAUCfpoVx,3:30:43,1,1
R_1LLnjOp5QelTEuN,3:32:42,1,1
R_6L3Mz5pk6xHUcsF,3:40:28,1,1
R_3IQMddXpHo60nCA,3:50:46,1,1
R_3MDoGzaY2BI3W1h,3:56:50,1,1
R_PwDBoObKicDXuut,4:03:05,1,1
R_1YSVhj8wGhs7qtr,4:16:24,1,1
R_rrLH9cz5MmDsZtD,4:20:04,1,1
R_23d7c9MX5A4G2N4,4:20:51,1,1
R_3ferRdNkw3OHgHW,4:22:23,1,1
R_Re6LNTriGXSiMnL,4:24:26,1,1
R_3qHIkMP1hBb2Y8U,4:26:17,1,1
R_3kh2MqZCz4rbQaB,4:30:19,1,1
R_2nQphfysKzvf4s1,4:36:50,1,1
R_xn1tvBYQf6wsWL7,4:48:10,1,1
R_XTg9wIl8EWpsfjH,5:02:49,1,1
R_3LZSCVkF6IyyMIy,5:04:08,1,1
R_22tz0eHg8RNLr74,5:07:57,1,1
R_1CDgWRnAWgwRzhZ,5:11:52,1,1
R_1LYBnzwmzOHyLfg,5:20:45,1,1
R_1mmYxy9iHqcOdTK,5:28:39,1,1
R_1hEBMbpklOZvXCX,5:50:21,1,1
R_2y4pWAMV7kZewsd,5:50:36,1,1
R_1g7PikSHBaBhOg9,6:01:25,1,1
R_2R2FIncQVXyfAdC,6:23:06,1,1
R_2UaAuaAOQKUPTnF,6:36:28,1,1
R_oY89mlDSXk625Z7,6:48:59,1,1
R_28J5WJntsENxngc,7:15:44,1,1
R_3hsaK8atcpi90q1,7:21:34,1,1
R_430It10aTo8skrT,7:28:48,1,1
R_2azglyWHmjmLJkL,8:00:11,1,1
R_2amq10muc6UeIxR,8:26:38,1,1
R_NVYp7tiIT6XdBn3,8:52:46,1,1
R_1jfXcqHfSWb34uA,9:48:08,1,1
R_vpg2CJ2wooRYVpf,10:23:06,1,1
R_ReP2SFh2kK7OGUp,10:54:20,1,1
R_PRI9RF9mcMUb1pT,11:22:01,1,1
