length_x,length_y
1270,1270
960,960
747,747
803,803
272,272
76,76
535,535
160,160
90,90
101,101
197,197
102,102
1102,1102
525,525
142,142
57,57
55,55
85,85
415,415
296,296
174,174
151,151
87,87
85,85
479,479
149,149
124,124
144,144
105,105
114,114
149,149
333,333
249,249
53,53
41,41
38,38
294,294
218,218
145,145
127,127
50,50
88,88
416,416
196,196
35,35
146,146
34,34
51,51
336,336
201,201
171,171
82,82
268,268
122,122
228,228
97,97
230,230
210,210
91,91
78,78
338,338
251,251
45,45
28,28
34,34
37,37
114,114
69,69
284,284
37,37
25,25
42,42
742,742
460,460
246,246
188,188
229,229
263,263
511,511
161,161
173,173
95,95
86,86
210,210
391,391
318,318
179,179
51,51
88,88
106,106
315,315
45,45
45,45
47,47
55,55
57,57
803,803
454,454
247,247
245,245
113,113
231,231
720,720
162,162
69,69
135,135
81,81
54,54
807,807
266,266
284,284
669,669
175,175
84,84
239,239
52,52
34,34
54,54
40,40
70,70
325,325
386,386
238,238
143,143
159,159
119,119
441,441
525,525
64,64
92,92
92,92
38,38
2268,2268
495,495
882,882
209,209
105,105
112,112
559,559
523,523
299,299
225,225
124,124
117,117
1243,1243
308,308
301,301
83,83
87,87
83,83
465,465
79,79
99,99
319,319
270,270
195,195
951,951
250,250
76,76
58,58
208,208
104,104
243,243
134,134
36,36
36,36
30,30
59,59
543,543
417,417
310,310
1001,1001
187,187
262,262
422,422
95,95
64,64
53,53
51,51
58,58
562,562
179,179
136,136
125,125
143,143
57,57
306,306
84,84
190,190
104,104
111,111
102,102
407,407
233,233
110,110
135,135
108,108
189,189
283,283
405,405
106,106
167,167
48,48
89,89
693,693
160,160
84,84
71,71
827,827
65,65
371,371
89,89
67,67
75,75
51,51
41,41
415,415
144,144
129,129
143,143
75,75
80,80
313,313
403,403
134,134
496,496
373,373
188,188
601,601
347,347
442,442
396,396
186,186
130,130
328,328
222,222
813,813
446,446
216,216
264,264
764,764
491,491
181,181
126,126
52,52
58,58
637,637
64,64
59,59
49,49
36,36
62,62
547,547
222,222
213,213
232,232
109,109
159,159
703,703
183,183
53,53
85,85
166,166
49,49
400,400
348,348
208,208
169,169
134,134
162,162
1136,1136
516,516
292,292
136,136
75,75
72,72
332,332
317,317
243,243
127,127
88,88
162,162
149,149
75,75
137,137
58,58
52,52
48,48
1119,1119
370,370
191,191
99,99
140,140
135,135
293,293
166,166
229,229
143,143
391,391
363,363
669,669
473,473
551,551
284,284
207,207
173,173
295,295
264,264
95,95
530,530
136,136
87,87
295,295
406,406
114,114
121,121
53,53
43,43
526,526
125,125
37,37
49,49
148,148
268,268
735,735
110,110
350,350
104,104
66,66
102,102
357,357
53,53
294,294
95,95
71,71
93,93
412,412
286,286
103,103
127,127
105,105
60,60
104,104
82,82
83,83
60,60
137,137
83,83
505,505
470,470
371,371
482,482
373,373
212,212
1051,1051
230,230
210,210
193,193
172,172
330,330
801,801
2550,2550
344,344
491,491
