length_x,length_y
729,729
668,668
169,169
287,287
116,116
140,140
176,176
149,149
132,132
211,211
205,205
86,86
180,180
133,133
145,145
166,166
93,93
421,421
231,231
186,186
141,141
103,103
97,97
55,55
80,80
62,62
87,87
186,186
139,139
102,102
115,115
95,95
85,85
34,34
47,47
46,46
246,246
119,119
81,81
81,81
71,71
80,80
58,58
82,82
67,67
225,225
212,212
84,84
43,43
41,41
185,185
128,128
109,109
60,60
409,409
230,230
154,154
123,123
84,84
50,50
335,335
125,125
81,81
327,327
230,230
139,139
277,277
157,157
83,83
69,69
73,73
78,78
242,242
233,233
120,120
92,92
78,78
119,119
71,71
84,84
274,274
417,417
310,310
188,188
74,74
84,84
87,87
110,110
113,113
96,96
989,989
96,96
86,86
79,79
63,63
63,63
107,107
99,99
103,103
207,207
321,321
157,157
119,119
101,101
90,90
109,109
86,86
116,116
284,284
162,162
101,101
89,89
86,86
129,129
218,218
84,84
73,73
363,363
190,190
91,91
51,51
49,49
65,65
53,53
94,94
68,68
457,457
505,505
950,950
101,101
159,159
165,165
652,652
365,365
103,103
307,307
213,213
87,87
77,77
36,36
87,87
64,64
185,185
115,115
183,183
166,166
58,58
53,53
129,129
60,60
41,41
55,55
43,43
409,409
236,236
92,92
66,66
64,64
50,50
62,62
46,46
49,49
212,212
128,128
67,67
71,71
61,61
74,74
60,60
168,168
274,274
326,326
800,800
481,481
111,111
127,127
193,193
105,105
121,121
104,104
368,368
525,525
149,149
96,96
216,216
78,78
76,76
59,59
35,35
269,269
218,218
103,103
108,108
64,64
129,129
101,101
57,57
43,43
180,180
177,177
90,90
337,337
85,85
189,189
126,126
83,83
68,68
171,171
78,78
53,53
53,53
49,49
42,42
51,51
74,74
52,52
1033,1033
165,165
369,369
316,316
356,356
205,205
1104,1104
135,135
100,100
215,215
192,192
143,143
107,107
134,134
182,182
214,214
582,582
174,174
135,135
66,66
86,86
129,129
48,48
38,38
50,50
161,161
75,75
231,231
146,146
56,56
84,84
73,73
121,121
49,49
65,65
90,90
309,309
180,180
176,176
220,220
99,99
87,87
76,76
67,67
71,71
460,460
365,365
261,261
118,118
116,116
139,139
145,145
107,107
126,126
643,643
199,199
131,131
113,113
149,149
86,86
107,107
74,74
137,137
242,242
191,191
113,113
189,189
141,141
178,178
83,83
102,102
81,81
399,399
336,336
123,123
174,174
46,46
271,271
152,152
103,103
158,158
345,345
180,180
250,250
114,114
343,343
255,255
229,229
150,150
166,166
225,225
184,184
83,83
66,66
95,95
98,98
63,63
53,53
52,52
219,219
203,203
62,62
76,76
38,38
99,99
209,209
81,81
57,57
775,775
203,203
68,68
40,40
78,78
100,100
72,72
85,85
42,42
425,425
176,176
154,154
168,168
114,114
97,97
88,88
150,150
59,59
158,158
175,175
91,91
142,142
130,130
207,207
70,70
166,166
66,66
1004,1004
469,469
176,176
92,92
146,146
109,109
92,92
73,73
72,72
157,157
93,93
126,126
60,60
56,56
85,85
77,77
57,57
58,58
444,444
238,238
159,159
383,383
122,122
81,81
73,73
79,79
73,73
402,402
52,52
33,33
106,106
52,52
51,51
39,39
34,34
29,29
293,293
83,83
70,70
65,65
40,40
44,44
46,46
51,51
40,40
3220,3220
156,156
66,66
50,50
48,48
45,45
46,46
42,42
40,40
249,249
210,210
168,168
126,126
104,104
105,105
198,198
122,122
97,97
165,165
164,164
104,104
106,106
93,93
79,79
176,176
64,64
60,60
463,463
208,208
108,108
86,86
85,85
149,149
279,279
73,73
74,74
181,181
148,148
74,74
152,152
58,58
524,524
88,88
72,72
133,133
435,435
167,167
120,120
103,103
91,91
80,80
77,77
75,75
54,54
764,764
257,257
105,105
157,157
84,84
101,101
190,190
179,179
130,130
291,291
264,264
135,135
236,236
123,123
76,76
50,50
60,60
101,101
350,350
221,221
185,185
64,64
128,128
82,82
58,58
55,55
69,69
522,522
202,202
141,141
301,301
179,179
318,318
121,121
166,166
120,120
167,167
173,173
88,88
87,87
105,105
81,81
67,67
66,66
75,75
580,580
412,412
129,129
123,123
112,112
89,89
147,147
145,145
84,84
320,320
238,238
107,107
129,129
137,137
186,186
142,142
96,96
83,83
325,325
272,272
211,211
94,94
169,169
167,167
236,236
80,80
137,137
298,298
130,130
121,121
131,131
96,96
80,80
81,81
126,126
55,55
187,187
138,138
115,115
92,92
152,152
63,63
78,78
123,123
77,77
197,197
446,446
461,461
259,259
282,282
146,146
465,465
106,106
198,198
156,156
168,168
178,178
100,100
101,101
137,137
96,96
77,77
249,249
427,427
391,391
96,96
101,101
76,76
101,101
104,104
88,88
78,78
205,205
201,201
188,188
127,127
89,89
78,78
92,92
87,87
96,96
876,876
1564,1564
178,178
1124,1124
449,449
123,123
123,123
125,125
123,123
793,793
210,210
159,159
158,158
126,126
201,201
142,142
128,128
111,111
1060,1060
600,600
264,264
201,201
124,124
108,108
152,152
111,111
70,70
197,197
261,261
142,142
146,146
155,155
159,159
138,138
143,143
78,78
612,612
206,206
171,171
487,487
637,637
294,294
108,108
144,144
83,83
261,261
604,604
216,216
110,110
110,110
196,196
105,105
239,239
226,226
373,373
335,335
298,298
131,131
145,145
108,108
100,100
129,129
86,86
121,121
182,182
109,109
122,122
56,56
99,99
107,107
110,110
83,83
224,224
169,169
114,114
105,105
208,208
44,44
148,148
101,101
70,70
288,288
188,188
255,255
132,132
120,120
62,62
101,101
65,65
47,47
149,149
163,163
58,58
92,92
93,93
76,76
63,63
81,81
38,38
466,466
219,219
84,84
84,84
76,76
90,90
70,70
56,56
46,46
256,256
218,218
228,228
141,141
166,166
138,138
114,114
73,73
78,78
213,213
225,225
175,175
201,201
219,219
276,276
132,132
198,198
135,135
270,270
234,234
159,159
224,224
194,194
91,91
118,118
85,85
86,86
268,268
261,261
59,59
187,187
117,117
65,65
55,55
50,50
58,58
225,225
299,299
119,119
94,94
87,87
49,49
73,73
63,63
57,57
201,201
124,124
113,113
88,88
85,85
110,110
150,150
74,74
96,96
234,234
216,216
72,72
88,88
131,131
85,85
62,62
59,59
51,51
248,248
237,237
209,209
151,151
103,103
102,102
166,166
70,70
99,99
731,731
374,374
401,401
567,567
2269,2269
406,406
1147,1147
631,631
620,620
219,219
30,30
50,50
23,23
27,27
31,31
36,36
28,28
18,18
696,696
232,232
99,99
75,75
65,65
59,59
53,53
62,62
55,55
177,177
127,127
41,41
61,61
46,46
37,37
34,34
34,34
22,22
381,381
619,619
487,487
304,304
209,209
154,154
105,105
87,87
68,68
149,149
139,139
146,146
167,167
136,136
129,129
97,97
86,86
88,88
372,372
962,962
328,328
231,231
263,263
936,936
130,130
89,89
97,97
759,759
214,214
96,96
76,76
68,68
185,185
72,72
88,88
274,274
274,274
151,151
91,91
87,87
120,120
88,88
129,129
85,85
80,80
262,262
244,244
115,115
108,108
90,90
136,136
168,168
88,88
92,92
242,242
111,111
135,135
111,111
287,287
431,431
228,228
340,340
135,135
225,225
193,193
86,86
103,103
148,148
100,100
87,87
86,86
102,102
989,989
213,213
241,241
298,298
318,318
449,449
234,234
164,164
143,143
1525,1525
256,256
180,180
110,110
108,108
116,116
104,104
135,135
83,83
178,178
69,69
87,87
93,93
276,276
97,97
47,47
53,53
52,52
556,556
164,164
136,136
84,84
85,85
58,58
95,95
76,76
88,88
275,275
329,329
91,91
103,103
84,84
65,65
151,151
77,77
142,142
618,618
239,239
102,102
290,290
73,73
103,103
79,79
85,85
100,100
314,314
268,268
113,113
120,120
376,376
70,70
316,316
178,178
102,102
1177,1177
87,87
81,81
104,104
115,115
149,149
69,69
61,61
78,78
140,140
214,214
113,113
117,117
98,98
198,198
80,80
69,69
173,173
310,310
260,260
98,98
89,89
80,80
308,308
87,87
56,56
72,72
327,327
159,159
108,108
125,125
161,161
116,116
95,95
103,103
54,54
273,273
190,190
262,262
185,185
157,157
93,93
91,91
94,94
153,153
156,156
70,70
45,45
59,59
46,46
62,62
58,58
43,43
88,88
220,220
119,119
174,174
42,42
93,93
61,61
65,65
48,48
56,56
156,156
105,105
95,95
100,100
75,75
75,75
75,75
78,78
123,123
796,796
181,181
66,66
39,39
106,106
140,140
99,99
54,54
59,59
423,423
790,790
219,219
717,717
838,838
1355,1355
187,187
354,354
59,59
151,151
127,127
110,110
115,115
88,88
180,180
124,124
92,92
65,65
192,192
170,170
97,97
48,48
66,66
124,124
75,75
75,75
106,106
216,216
315,315
107,107
73,73
85,85
62,62
86,86
102,102
57,57
747,747
465,465
153,153
462,462
59,59
72,72
67,67
116,116
49,49
203,203
195,195
219,219
267,267
75,75
59,59
56,56
47,47
42,42
317,317
336,336
105,105
165,165
87,87
178,178
123,123
83,83
42,42
208,208
145,145
155,155
131,131
90,90
70,70
76,76
90,90
75,75
160,160
222,222
93,93
242,242
210,210
107,107
79,79
92,92
85,85
271,271
143,143
164,164
112,112
104,104
136,136
94,94
219,219
117,117
325,325
209,209
66,66
150,150
107,107
102,102
85,85
83,83
36,36
216,216
220,220
148,148
169,169
94,94
65,65
85,85
58,58
66,66
209,209
113,113
77,77
51,51
100,100
86,86
169,169
100,100
199,199
320,320
482,482
90,90
114,114
56,56
67,67
41,41
52,52
49,49
191,191
180,180
76,76
110,110
102,102
154,154
108,108
71,71
61,61
277,277
832,832
81,81
35,35
82,82
71,71
818,818
80,80
470,470
175,175
152,152
87,87
73,73
88,88
70,70
66,66
71,71
66,66
267,267
149,149
76,76
62,62
63,63
70,70
58,58
117,117
111,111
234,234
204,204
112,112
180,180
215,215
128,128
101,101
84,84
67,67
1058,1058
205,205
215,215
210,210
93,93
74,74
88,88
135,135
96,96
83,83
55,55
109,109
87,87
64,64
64,64
52,52
43,43
44,44
165,165
140,140
78,78
53,53
68,68
97,97
50,50
85,85
104,104
184,184
245,245
120,120
135,135
86,86
60,60
123,123
95,95
55,55
347,347
434,434
163,163
167,167
236,236
106,106
95,95
76,76
154,154
135,135
174,174
95,95
74,74
61,61
60,60
59,59
58,58
36,36
289,289
165,165
106,106
121,121
117,117
179,179
105,105
288,288
98,98
226,226
425,425
221,221
99,99
65,65
158,158
144,144
98,98
180,180
406,406
335,335
106,106
120,120
69,69
147,147
133,133
73,73
385,385
509,509
260,260
93,93
153,153
84,84
141,141
97,97
200,200
106,106
255,255
225,225
171,171
265,265
138,138
195,195
115,115
146,146
111,111
263,263
231,231
171,171
148,148
128,128
191,191
190,190
151,151
193,193
488,488
181,181
280,280
116,116
208,208
119,119
72,72
63,63
65,65
238,238
191,191
199,199
137,137
130,130
93,93
81,81
75,75
50,50
368,368
215,215
236,236
142,142
93,93
102,102
120,120
155,155
78,78
436,436
212,212
147,147
73,73
91,91
67,67
60,60
69,69
76,76
142,142
118,118
169,169
162,162
193,193
63,63
103,103
67,67
57,57
326,326
230,230
105,105
81,81
161,161
132,132
101,101
71,71
77,77
193,193
684,684
731,731
89,89
72,72
50,50
46,46
54,54
36,36
285,285
245,245
214,214
205,205
83,83
111,111
90,90
119,119
53,53
458,458
265,265
105,105
102,102
102,102
74,74
64,64
80,80
869,869
658,658
