GS,id,par
G1S1,1,EX GUERRILLERO-ESTUDIANTE
G1S1,1,EX GUERRILLERO-VICTIMA
G1S1,1,TU-ESTUDIANTE
G1S1,1,TU-VICTIMA
G1S2,2,EX GUERRILLERO-ESTUDIANTE
G1S2,2,EX GUERRILLERO-EX PARAMILITAR
G1S2,2,TU-ESTUDIANTE
G1S2,2,TU-EX PARAMILITAR
G1S3,3,TU-ESTUDIANTE
G1S3,3,TU-VICTIMA
G1S3,3,VICTIMA-ESTUDIANTE
G1S3,3,VICTIMA-VICTIMA
G1S4,4,EX GUERRILLERO-ESTUDIANTE
G1S4,4,EX GUERRILLERO-EX PARAMILITAR
G1S4,4,TU-ESTUDIANTE
G1S4,4,TU-EX PARAMILITAR
G1S5,5,EX PARAMILITAR-ESTUDIANTE
G1S5,5,EX PARAMILITAR-EX GUERRILLERO
G1S5,5,TU-ESTUDIANTE
G1S5,5,TU-EX GUERRILLERO
G1S6,6,TU-ESTUDIANTE
G1S6,6,TU-VICTIMA
G1S6,6,VICTIMA-ESTUDIANTE
G1S6,6,VICTIMA-VICTIMA
G1S7,7,EX PARAMILITAR-ESTUDIANTE
G1S7,7,EX PARAMILITAR-EX GUERRILLERO
G1S7,7,TU-ESTUDIANTE
G1S7,7,TU-EX GUERRILLERO
G1S8,8,EX GUERRILLERO-ESTUDIANTE
G1S8,8,EX GUERRILLERO-VICTIMA
G1S8,8,TU-ESTUDIANTE
G1S8,8,TU-VICTIMA
G1S9,9,EX PARAMILITAR-ESTUDIANTE
G1S9,9,EX PARAMILITAR-EX PARAMILITAR
G1S9,9,TU-ESTUDIANTE
G1S9,9,TU-EX PARAMILITAR
G1S10,10,TU-ESTUDIANTE
G1S10,10,TU-EX GUERRILLERO
G1S10,10,VICTIMA-ESTUDIANTE
G1S10,10,VICTIMA-EX GUERRILLERO
G1S11,11,EX GUERRILLERO-ESTUDIANTE
G1S11,11,EX GUERRILLERO-EX GUERRILLERO
G1S11,11,TU-ESTUDIANTE
G1S11,11,TU-EX GUERRILLERO
G1S12,12,EX PARAMILITAR-ESTUDIANTE
G1S12,12,EX PARAMILITAR-VICTIMA
G1S12,12,TU-ESTUDIANTE
G1S12,12,TU-VICTIMA
G1S13,13,EX PARAMILITAR-ESTUDIANTE
G1S13,13,EX PARAMILITAR-EX GUERRILLERO
G1S13,13,TU-ESTUDIANTE
G1S13,13,TU-EX GUERRILLERO
G1S14,14,EX PARAMILITAR-ESTUDIANTE
G1S14,14,EX PARAMILITAR-EX GUERRILLERO
G1S14,14,TU-ESTUDIANTE
G1S14,14,TU-EX GUERRILLERO
G1S15,15,TU-ESTUDIANTE
G1S15,15,TU-VICTIMA
G1S15,15,VICTIMA-ESTUDIANTE
G1S15,15,VICTIMA-VICTIMA
G1S16,16,EX PARAMILITAR-ESTUDIANTE
G1S16,16,EX PARAMILITAR-EX PARAMILITAR
G1S16,16,TU-ESTUDIANTE
G1S16,16,TU-EX PARAMILITAR
G1S17,17,TU-ESTUDIANTE
G1S17,17,TU-EX PARAMILITAR
G1S17,17,VICTIMA-ESTUDIANTE
G1S17,17,VICTIMA-EX PARAMILITAR
G1S18,18,EX PARAMILITAR-ESTUDIANTE
G1S18,18,EX PARAMILITAR-VICTIMA
G1S18,18,TU-ESTUDIANTE
G1S18,18,TU-VICTIMA
G1S19,19,EX PARAMILITAR-ESTUDIANTE
G1S19,19,EX PARAMILITAR-EX PARAMILITAR
G1S19,19,TU-ESTUDIANTE
G1S19,19,TU-EX PARAMILITAR
G1S20,20,EX PARAMILITAR-ESTUDIANTE
G1S20,20,EX PARAMILITAR-EX GUERRILLERO
G1S20,20,TU-ESTUDIANTE
G1S20,20,TU-EX GUERRILLERO
G1S21,21,TU-ESTUDIANTE
G1S21,21,TU-EX GUERRILLERO
G1S21,21,VICTIMA-ESTUDIANTE
G1S21,21,VICTIMA-EX GUERRILLERO
G1S22,22,EX PARAMILITAR-ESTUDIANTE
G1S22,22,EX PARAMILITAR-VICTIMA
G1S22,22,TU-ESTUDIANTE
G1S22,22,TU-VICTIMA
G1S23,23,EX PARAMILITAR-ESTUDIANTE
G1S23,23,EX PARAMILITAR-EX GUERRILLERO
G1S23,23,TU-ESTUDIANTE
G1S23,23,TU-EX GUERRILLERO
G1S24,24,TU-ESTUDIANTE
G1S24,24,TU-VICTIMA
G1S24,24,VICTIMA-ESTUDIANTE
G1S24,24,VICTIMA-VICTIMA
G1S25,25,TU-ESTUDIANTE
G1S25,25,TU-EX GUERRILLERO
G1S25,25,VICTIMA-ESTUDIANTE
G1S25,25,VICTIMA-EX GUERRILLERO
G1S26,26,EX GUERRILLERO-ESTUDIANTE
G1S26,26,EX GUERRILLERO-EX GUERRILLERO
G1S26,26,TU-ESTUDIANTE
G1S26,26,TU-EX GUERRILLERO
G1S27,27,EX GUERRILLERO-ESTUDIANTE
G1S27,27,EX GUERRILLERO-VICTIMA
G1S27,27,TU-ESTUDIANTE
G1S27,27,TU-VICTIMA
G1S28,28,EX GUERRILLERO-ESTUDIANTE
G1S28,28,EX GUERRILLERO-EX PARAMILITAR
G1S28,28,TU-ESTUDIANTE
G1S28,28,TU-EX PARAMILITAR
G1S29,29,TU-ESTUDIANTE
G1S29,29,TU-VICTIMA
G1S29,29,VICTIMA-ESTUDIANTE
G1S29,29,VICTIMA-VICTIMA
G1S30,30,EX GUERRILLERO-ESTUDIANTE
G1S30,30,EX GUERRILLERO-EX PARAMILITAR
G1S30,30,TU-ESTUDIANTE
G1S30,30,TU-EX PARAMILITAR
G1S31,31,EX GUERRILLERO-ESTUDIANTE
G1S31,31,EX GUERRILLERO-EX PARAMILITAR
G1S31,31,TU-ESTUDIANTE
G1S31,31,TU-EX PARAMILITAR
G1S32,32,TU-ESTUDIANTE
G1S32,32,TU-VICTIMA
G1S32,32,VICTIMA-ESTUDIANTE
G1S32,32,VICTIMA-VICTIMA
G1S33,33,EX GUERRILLERO-ESTUDIANTE
G1S33,33,EX GUERRILLERO-EX PARAMILITAR
G1S33,33,TU-ESTUDIANTE
G1S33,33,TU-EX PARAMILITAR
G1S34,34,TU-ESTUDIANTE
G1S34,34,TU-EX PARAMILITAR
G1S34,34,VICTIMA-ESTUDIANTE
G1S34,34,VICTIMA-EX PARAMILITAR
G1S35,35,EX PARAMILITAR-ESTUDIANTE
G1S35,35,EX PARAMILITAR-EX GUERRILLERO
G1S35,35,TU-ESTUDIANTE
G1S35,35,TU-EX GUERRILLERO
G1S36,36,EX PARAMILITAR-ESTUDIANTE
G1S36,36,EX PARAMILITAR-EX PARAMILITAR
G1S36,36,TU-ESTUDIANTE
G1S36,36,TU-EX PARAMILITAR
G1S37,37,EX PARAMILITAR-ESTUDIANTE
G1S37,37,EX PARAMILITAR-VICTIMA
G1S37,37,TU-ESTUDIANTE
G1S37,37,TU-VICTIMA
G1S38,38,TU-ESTUDIANTE
G1S38,38,TU-EX PARAMILITAR
G1S38,38,VICTIMA-ESTUDIANTE
G1S38,38,VICTIMA-EX PARAMILITAR
G1S39,39,EX PARAMILITAR-ESTUDIANTE
G1S39,39,EX PARAMILITAR-EX GUERRILLERO
G1S39,39,TU-ESTUDIANTE
G1S39,39,TU-EX GUERRILLERO
G1S40,40,TU-ESTUDIANTE
G1S40,40,TU-VICTIMA
G1S40,40,VICTIMA-ESTUDIANTE
G1S40,40,VICTIMA-VICTIMA
G1S41,41,EX GUERRILLERO-ESTUDIANTE
G1S41,41,EX GUERRILLERO-VICTIMA
G1S41,41,TU-ESTUDIANTE
G1S41,41,TU-VICTIMA
G1S42,42,EX GUERRILLERO-ESTUDIANTE
G1S42,42,EX GUERRILLERO-EX GUERRILLERO
G1S42,42,TU-ESTUDIANTE
G1S42,42,TU-EX GUERRILLERO
G1S43,43,EX PARAMILITAR-ESTUDIANTE
G1S43,43,EX PARAMILITAR-EX PARAMILITAR
G1S43,43,TU-ESTUDIANTE
G1S43,43,TU-EX PARAMILITAR
G1S44,44,EX PARAMILITAR-ESTUDIANTE
G1S44,44,EX PARAMILITAR-VICTIMA
G1S44,44,TU-ESTUDIANTE
G1S44,44,TU-VICTIMA
G1S45,45,EX PARAMILITAR-ESTUDIANTE
G1S45,45,EX PARAMILITAR-EX PARAMILITAR
G1S45,45,TU-ESTUDIANTE
G1S45,45,TU-EX PARAMILITAR
G1S46,46,EX PARAMILITAR-ESTUDIANTE
G1S46,46,EX PARAMILITAR-VICTIMA
G1S46,46,TU-ESTUDIANTE
G1S46,46,TU-VICTIMA
G1S47,47,EX PARAMILITAR-ESTUDIANTE
G1S47,47,EX PARAMILITAR-VICTIMA
G1S47,47,TU-ESTUDIANTE
G1S47,47,TU-VICTIMA
G1S48,48,TU-ESTUDIANTE
G1S48,48,TU-EX GUERRILLERO
G1S48,48,VICTIMA-ESTUDIANTE
G1S48,48,VICTIMA-EX GUERRILLERO
G1S49,49,EX GUERRILLERO-ESTUDIANTE
G1S49,49,EX GUERRILLERO-EX GUERRILLERO
G1S49,49,TU-ESTUDIANTE
G1S49,49,TU-EX GUERRILLERO
G1S50,50,TU-ESTUDIANTE
G1S50,50,TU-VICTIMA
G1S50,50,VICTIMA-ESTUDIANTE
G1S50,50,VICTIMA-VICTIMA
G1S51,51,EX GUERRILLERO-ESTUDIANTE
G1S51,51,EX GUERRILLERO-EX GUERRILLERO
G1S51,51,TU-ESTUDIANTE
G1S51,51,TU-EX GUERRILLERO
G1S52,52,EX GUERRILLERO-ESTUDIANTE
G1S52,52,EX GUERRILLERO-VICTIMA
G1S52,52,TU-ESTUDIANTE
G1S52,52,TU-VICTIMA
G1S53,53,EX GUERRILLERO-ESTUDIANTE
G1S53,53,EX GUERRILLERO-VICTIMA
G1S53,53,TU-ESTUDIANTE
G1S53,53,TU-VICTIMA
G1S54,54,EX PARAMILITAR-ESTUDIANTE
G1S54,54,EX PARAMILITAR-EX GUERRILLERO
G1S54,54,TU-ESTUDIANTE
G1S54,54,TU-EX GUERRILLERO
G1S55,55,TU-ESTUDIANTE
G1S55,55,TU-EX PARAMILITAR
G1S55,55,VICTIMA-ESTUDIANTE
G1S55,55,VICTIMA-EX PARAMILITAR
G1S56,56,TU-ESTUDIANTE
G1S56,56,TU-EX PARAMILITAR
G1S56,56,VICTIMA-ESTUDIANTE
G1S56,56,VICTIMA-EX PARAMILITAR
G1S57,57,EX GUERRILLERO-ESTUDIANTE
G1S57,57,EX GUERRILLERO-EX GUERRILLERO
G1S57,57,TU-ESTUDIANTE
G1S57,57,TU-EX GUERRILLERO
G1S58,58,TU-ESTUDIANTE
G1S58,58,TU-EX PARAMILITAR
G1S58,58,VICTIMA-ESTUDIANTE
G1S58,58,VICTIMA-EX PARAMILITAR
G1S59,59,TU-ESTUDIANTE
G1S59,59,TU-VICTIMA
G1S59,59,VICTIMA-ESTUDIANTE
G1S59,59,VICTIMA-VICTIMA
G1S60,60,EX PARAMILITAR-ESTUDIANTE
G1S60,60,EX PARAMILITAR-EX PARAMILITAR
G1S60,60,TU-ESTUDIANTE
G1S60,60,TU-EX PARAMILITAR
G1S61,61,EX GUERRILLERO-ESTUDIANTE
G1S61,61,EX GUERRILLERO-VICTIMA
G1S61,61,TU-ESTUDIANTE
G1S61,61,TU-VICTIMA
G1S62,62,TU-ESTUDIANTE
G1S62,62,TU-VICTIMA
G1S62,62,VICTIMA-ESTUDIANTE
G1S62,62,VICTIMA-VICTIMA
G1S63,63,TU-ESTUDIANTE
G1S63,63,TU-EX PARAMILITAR
G1S63,63,VICTIMA-ESTUDIANTE
G1S63,63,VICTIMA-EX PARAMILITAR
G1S64,64,TU-ESTUDIANTE
G1S64,64,TU-VICTIMA
G1S64,64,VICTIMA-ESTUDIANTE
G1S64,64,VICTIMA-VICTIMA
G1S65,65,TU-ESTUDIANTE
G1S65,65,TU-EX PARAMILITAR
G1S65,65,VICTIMA-ESTUDIANTE
