subjID,ROL,task,perception
G1S1,EX GUERRILLERO,PROSOCIAL,mas
G1S2,Ex guerrillero,PROSOCIAL,menos
g1s3,victima,PROSOCIAL,igual
G1S4,EXGUERRILLERO,PROSOCIAL,igual
G1S5,EXPARAMILITAR,PROSOCIAL,menos
g2s6,victima,PROSOCIAL,mas
g2s7,exparamilitar,PROSOCIAL,menos
g2s8,exguerrillero,PROSOCIAL,menos
G1S9,EXPARAMILITAR,PROSOCIAL,menos
G1S10,VICTIMA,PROSOCIAL,mas
G1S11,EXGUERRILLERO,PROSOCIAL,mas
G1S12,EXPARAMILITAR,PROSOCIAL,menos
G1S13,EXPARAMILITAR,PROSOCIAL,mas
G1S14,Exparamilitar,PROSOCIAL,menos
G1S15,Victima,PROSOCIAL,igual
G1S16,Exparamilitar,PROSOCIAL,menos
G1S17,Victima,PROSOCIAL,menos
gs18,exparamilitar,PROSOCIAL,mas
G1S19,EXPARAMILITAR,PROSOCIAL,igual
G1S20,EXPARAMILITAR,PROSOCIAL,mas
G1S21,VICTIMA,PROSOCIAL,menos
G1S22,EXPARAMILITAR,PROSOCIAL,igual
G1S23,EXPARAMILITAR,PROSOCIAL,menos
G1S24,Victima,PROSOCIAL,menos
G1S25,VICTIMA,PROSOCIAL,igual
G1S26,EXGUERRILLERO,PROSOCIAL,igual
G1S27,EXGUERRILLERO,PROSOCIAL,igual
G1S28,EXGUERRILLERO,PROSOCIAL,igual
G1S29,VICTIMA,PROSOCIAL,igual
G1S30,EXGUERRILLERO,PROSOCIAL,menos
G1S31,exguerrillero,PROSOCIAL,igual
G1S32,VICTIMA,PROSOCIAL,mas
G1S33,exguerrillero,PROSOCIAL,mas
G1S34,victima,PROSOCIAL,menos
G1S35,EXPARAMILITAR,PROSOCIAL,menos
G1s36,exparamilitar,PROSOCIAL,igual
G1S37,exparamilitar,PROSOCIAL,igual
G1S38,VICTIMA,PROSOCIAL,igual
G1S39,exparamilitar,PROSOCIAL,igual
G1S40,victima,PROSOCIAL,mas
G1S41,Exguerrillero,PROSOCIAL,igual
G1S42,exguerrillero,PROSOCIAL,mas
G1S43,exparamilitar,PROSOCIAL,igual
G1S44,exparamilitar,PROSOCIAL,menos
G1S45,exparamilitar,PROSOCIAL,menos
G1S46,exparamilitar,PROSOCIAL,igual
