subjID,ROL,task,perception
G1S1,EX GUERRILLERO,RIESGO,mas
G1S2,Ex guerrillero,RIESGO,menos
g1s3,victima,RIESGO,igual
G1S4,EXGUERRILLERO,RIESGO,igual
G1S5,EXPARAMILITAR,RIESGO,mas
g2s6,victima,RIESGO,mas
g2s7,exparamilitar,RIESGO,mas
g2s8,exguerrillero,RIESGO,mas
G1S9,EXPARAMILITAR,RIESGO,mas
G1S10,VICTIMA,RIESGO,igual
G1S11,EXGUERRILLERO,RIESGO,mas
G1S12,EXPARAMILITAR,RIESGO,igual
G1S13,EXPARAMILITAR,RIESGO,igual
G1S14,Exparamilitar,RIESGO,mas
G1S15,Victima,RIESGO,mas
G1S16,Exparamilitar,RIESGO,igual
G1S17,Victima,RIESGO,mas
gs18,exparamilitar,RIESGO,mas
G1S19,EXPARAMILITAR,RIESGO,menos
G1S20,EXPARAMILITAR,RIESGO,menos
G1S21,VICTIMA,RIESGO,mas
G1S22,EXPARAMILITAR,RIESGO,mas
G1S23,EXPARAMILITAR,RIESGO,igual
G1S24,Victima,RIESGO,igual
G1S25,VICTIMA,RIESGO,igual
G1S26,EXGUERRILLERO,RIESGO,mas
G1S27,EXGUERRILLERO,RIESGO,menos
G1S28,EXGUERRILLERO,RIESGO,menos
G1S29,VICTIMA,RIESGO,igual
G1S30,EXGUERRILLERO,RIESGO,mas
G1S31,exguerrillero,RIESGO,igual
G1S32,VICTIMA,RIESGO,menos
G1S33,exguerrillero,RIESGO,menos
G1S34,victima,RIESGO,igual
G1S35,EXPARAMILITAR,RIESGO,menos
G1s36,exparamilitar,RIESGO,igual
G1S37,exparamilitar,RIESGO,igual
G1S38,VICTIMA,RIESGO,menos
G1S39,exparamilitar,RIESGO,menos
G1S40,victima,RIESGO,menos
G1S41,Exguerrillero,RIESGO,igual
G1S42,exguerrillero,RIESGO,igual
G1S43,exparamilitar,RIESGO,mas
G1S44,exparamilitar,RIESGO,mas
G1S45,exparamilitar,RIESGO,igual
G1S46,exparamilitar,RIESGO,menos
G1S47,EXPARAMILITAR,RIESGO,mas
G1S48,VICTIMA,RIESGO,menos
G1S49,EXGUERRILLERO,RIESGO,igual
G1S50,VICTIMA,RIESGO,menos
G1S51,EXGUERRILLERO,RIESGO,mas
G1S52,EXGUERRILLERO,RIESGO,menos
G1S53,EXGUERRILLERO,RIESGO,mas
G1S54,EXPARAMILITAR,RIESGO,menos
g1s55,victima,RIESGO,mas
g1s56,victima,RIESGO,menos
g1s57,exguerrillero,RIESGO,igual
g1s58,victima,RIESGO,menos
g1s59,victima,RIESGO,igual
G1S60,EXPARAMILITAR,RIESGO,igual
G1S61,EXGUERRILLERO,RIESGO,mas
G1S62,VICTIMA,RIESGO,menos
G1S63,VICTIMA,RIESGO,menos
G1S64,victima,RIESGO,menos
G1S65,victima,RIESGO,igual
g1s66,exguerrillero,RIESGO,igual
g1s67,exguerrillero,RIESGO,igual
G1S68,EXPARAMILITAR,RIESGO,igual
G1S69,VICTIMA,RIESGO,menos
g1s70,exparamilitar,RIESGO,igual
g1s71,exguerrillero,RIESGO,mas
G1S72,VICTIMA,RIESGO,menos
G1S73,VICTIMA,RIESGO,mas
G1S74,Ex paramilitar,RIESGO,menos
G1S75,Exparamilitar,RIESGO,menos
g1s76,victima,RIESGO,menos
G1S77,EXGUERRILLERO,RIESGO,mas
G1S78,EXGUERRILLERO,RIESGO,menos
G1S79,VICTIMA,RIESGO,igual
G1S80,Exparamilitar,RIESGO,igual
G1S81,EXGUERRILLERO,RIESGO,menos
G1S82,EXGUERRILLERO,RIESGO,menos
G1S83,exparamilitar,RIESGO,igual
G1S84,Exguerrillero,RIESGO,igual
G1S85,Victima,RIESGO,mas
G1S86,victima,RIESGO,menos
G1S87,VICTIMA,RIESGO,menos
GIS88,exguerrillero,RIESGO,mas
G1S89,exguerrillero,RIESGO,mas
G1S91,EXGUERRILLERO,RIESGO,mas
g1s92,exguerrillero,RIESGO,menos
g1s93,exparamilitar,RIESGO,mas
g1s94,victima,RIESGO,mas
G1S95,EXGUERRILLERO,RIESGO,mas
G1S96,exparamilitar,RIESGO,mas
G1S97,EXPARAMILITAR,RIESGO,igual
G1S98,EXPARAMILITAR,RIESGO,mas
G1S99,VICTIMA,RIESGO,menos
G1S100,EXPARAMILITAR,RIESGO,mas
G1S101,VICTIMA,RIESGO,igual
G1S102,VICTIMA,RIESGO,menos
G1S103,VICTIMA,RIESGO,igual
G1S104,EXPARAMILITAR,RIESGO,igual
G1S105,EXGUERRILLERO,RIESGO,igual
G1S106,VICTIMA,RIESGO,menos
g1s107,exguerrillero,RIESGO,menos
g1s108,exparamilitar,RIESGO,igual
G1S109,EXPARAMILITAR,RIESGO,igual
G1S110,VICTIMA,RIESGO,igual
G1S111,EXPARAMILITAR,RIESGO,menos
G1S112,VICTIMA,RIESGO,igual
G1S113,EXGUERRILLERO,RIESGO,menos
GS114,EXPARAMILITAR,RIESGO,menos
G1S115,EXGUERRILLERO,RIESGO,menos
g1s116,exparamilitar,RIESGO,mas
g1s117,EXGUERRILLERO,RIESGO,menos
G1S118,VICTIMA,RIESGO,menos
G1S119,EXPARAMILITAR,RIESGO,menos
G1S120,VICTIMA,RIESGO,menos
G1S121,EXGUERRILERO,RIESGO,menos
G1S122,EXGUERRILLERO,RIESGO,menos
g1s123,ex guerrillero,RIESGO,igual
g1s124,ex guerrillerp,RIESGO,igual
j1s125,exparamilitar,RIESGO,mas
g1s126,expatamilitar,RIESGO,mas
G1S127,victima,RIESGO,menos
G1S128,exguerrillero,RIESGO,igual
G1S129,exparamilitar,RIESGO,mas
G1S130,exguerrillero,RIESGO,menos
G1S131,VICTIMA,RIESGO,menos
G1S132,VICTIMA,RIESGO,igual
G1S133,EXPARAMILITAR,RIESGO,mas
G1S134,EXPARAMILITAR,RIESGO,menos
G1S135,EXGUERRILLERO,RIESGO,menos
G2S1,VICTIMA,RIESGO,igual
G2S2,EXPARAMILITAR,RIESGO,mas
G2S3,VICTIMA,RIESGO,menos
G2S4,EXPARAMILITAR,RIESGO,mas
G2S5,EXGUERRILLERO,RIESGO,mas
g2s6,victima,RIESGO,igual
g2s7,exparamilitar,RIESGO,menos
g2s8,exguerrillero,RIESGO,menos
g2s9,exparamilitar,RIESGO,menos
g2s10,exguerrillero,RIESGO,mas
g2s11,exguerrillero,RIESGO,mas
g2s12,victima,RIESGO,menos
G2S13,Exguerrillero,RIESGO,menos
G2S14,EXGUERRILLERO,RIESGO,mas
G2S15,VICTIMA,RIESGO,menos
G2S16,EXPARAMILITAR,RIESGO,igual
G2S17,EXPARAMILITAR,RIESGO,mas
G2S18,VICTIMA,RIESGO,menos
G2S19,G1S19,RIESGO,mas
G2S20,EXGUERRILLERO,RIESGO,igual
G2S21,EXGUERRILLERO,RIESGO,igual
G2S22,VICTIMA,RIESGO,igual
G2S23,EXGUERRILLERO,RIESGO,igual
G2S24,VICTIMA,RIESGO,menos
G2S25,EXGUERRILLERO,RIESGO,menos
G2S26,EXGUERRILLERO,RIESGO,mas
G2S27,VICTIMA,RIESGO,igual
g2s28,exparamilitar,RIESGO,menos
g2s29,victima,RIESGO,igual
g2s30,exparamilitar,RIESGO,mas
G2S31,exparamilitar,RIESGO,mas
G2S32,VICTIMA,RIESGO,igual
G2S33,EXPARAMILITAR,RIESGO,mas
G2S34,EXPARAMILITAR,RIESGO,menos
g2s35,ex guerillero,RIESGO,mas
g2s36,exparamilitar,RIESGO,mas
G2S37,VICTIMA,RIESGO,menos
62S38,EXPARAMILITAR,RIESGO,mas
G2S39,EXGUERRILLERO,RIESGO,mas
g1s40,victima,RIESGO,mas
G2S41,VICTIMA,RIESGO,mas
g1s42,exguerrillero,RIESGO,igual
g1s43,exparamilitar,RIESGO,menos
G2S44,VICTIMA,RIESGO,menos
g1s45,exparamilitar,RIESGO,menos
G2S46,VICTIMA,RIESGO,igual
g2s47,victima,RIESGO,menos
g2s48,exgerrillero,RIESGO,menos
g2s49,exguerrillero,RIESGO,igual
s2g50,victima,RIESGO,menos
g2s51,exguerillero,RIESGO,mas
g2s52,victima ,RIESGO,mas
g2s53,victima,RIESGO,mas
g2s54,exguerrillero,RIESGO,mas
G2S55,EXGUERRILLERO,RIESGO,menos
G2S56,EXPARAMILITAR,RIESGO,igual
G2S57,Exguerrillero,RIESGO,igual
G2S58,Exparamilitar,RIESGO,menos
G2S59,Victima,RIESGO,mas
G2S60,EXPARAMILITAR,RIESGO,menos
G2S61,VICTIMA,RIESGO,mas
G2S62,VICTIMA,RIESGO,menos
G2S63,EXPARAMILITAR,RIESGO,igual
G2S64,G1S64,RIESGO,menos
g2s65,exparamilitar,RIESGO,mas
g2s66,ex paramilitar,RIESGO,igual
g2s67,ex guerrillero,RIESGO,igual
g2s68,exparamilitar,RIESGO,igual
g2s69,exparamilitar,RIESGO,mas
g2s70,ex paramilitar,RIESGO,mas
G2s71,ex guerrillero ,RIESGO,mas
G2S72,EXGUERRILLERO,RIESGO,igual
g2s73,exguerrillero,RIESGO,igual
g2s74,exguerrillero,RIESGO,igual
g2s75,exparamilitar,RIESGO,igual
g2s76,victima,RIESGO,menos
G2S77,VICTIMA,RIESGO,mas
G2S78,EXGUERRILLERO,RIESGO,igual
G2S079,VICTIMA,RIESGO,menos
G2S80,victima,RIESGO,igual
G2S81,EXPARAMILITAR,RIESGO,mas
G2S82,EXGUERRILLERO,RIESGO,mas
G2S83,EXPARAMILITAR,RIESGO,mas
G2S84,EXPARAMILITAR,RIESGO,menos
G2S85,EXGUERRILLERO,RIESGO,igual
g2s86,exguerillero,RIESGO,igual
g2s87,g1s87,RIESGO,mas
G2S88,EXPARAMILITAR,RIESGO,igual
g2s91,victima,RIESGO,menos
G2592,Guerrillero,RIESGO,mas
G2593,exguerrillero,RIESGO,menos
G2594,exparamilitar,RIESGO,mas
G2S95,EXPARAMILITAR,RIESGO,igual
g2s96,ex paramilitar,RIESGO,menos
G2S97,Exguerrillero,RIESGO,menos
