ID,Carrer,semester,age,gender,Resp1,Resp2,Resp3,Resp4,Resp5,Resp6,Resp7,Resp8,Resp9,Resp10,Resp11,Resp12,Resp13,Resp14
G1S1,Economia,8,21,0,65,65,73,86,72,69,70,68,100,100,100,100,100,74
G1S2,EconomÃ­a,9,21,0,1,2,4,3,24,37,36,79,100,100,100,100,19,100
g1s3,Estudios Literarios,1,17,0,21,36,79,100,80,73,100,70,100,100,30,100,82,48
G1S4,estudios literarios,1,16,1,1,1,11,38,74,36,100,100,100,100,100,100,59,100
G1S5,IngenierÃ­a industrial,9,22,0,30,1,16,66,85,83,100,100,100,1,100,100,100,50
g2s6,nutricion y dietetica,9,25,1,25,32,1,1,65,21,1,14,72,73,100,1,77,1
g2s7,ingenieria industrial,7,20,1,1,1,1,1,61,62,59,1,100,100,100,100,100,50
g2s8,ingenieria civil,1,17,0,1,6,1,1,79,78,1,1,50,50,76,21,20,100
G1S9,diseÃ±o industrial,8,22,0,7,1,13,19,87,87,88,71,100,100,100,100,100,100
G1S10,COMPOSICION,1,19,0,1,56,1,100,50,77,1,1,33,65,75,100,100,1
G1S11,INGENIERIA CIVIL,3,19,0,1,1,1,1,100,100,100,100,100,100,100,100,100,100
G1S12,SOCIOLOGIA,2,19,1,1,24,1,5,85,76,100,87,100,100,75,84,100,100
G1S13,comunicacion social ,5,20,0,1,1,1,1,49,61,60,58,100,100,100,75,100,80
G1S14,Psicologia,9,22,0,13,1,1,6,62,35,60,42,100,100,100,100,31,100
G1S15,Sociologia,2,19,1,1,5,17,77,74,95,91,63,100,84,100,100,67,100
G1S16,ComunicaciÃ³n social,6,19,1,26,28,100,82,66,100,77,79,100,100,100,1,100,100
G1S17,ComunicaciÃ³n social y relaciones internacionales,9,22,0,13,1,42,77,79,68,100,100,21,35,69,1,100,100
g1s18,ing de sonido,10,25,0,21,29,29,18,73,64,79,23,100,100,100,100,100,100
G1S19,Administracion de empresas,6,21,[],1,3,2,16,43,48,55,24,100,100,100,72,100,100
G1S20,literatura,1,18,1,1,1,1,41,38,50,63,16,100,100,100,100,47,100
G1S21,economÃ­a,7,19,0,10,8,73,1,88,77,100,54,84,76,94,87,50,83
G1S22,Derecho,6,20,1,60,61,64,79,100,88,100,83,100,100,100,100,100,100
G1S23,Economia,5,18,1,1,1,1,31,50,31,73,32,94,90,93,100,71,100
G1S24,Economia y relaciones internacionales,7,20,1,59,56,49,100,61,64,58,63,100,77,100,100,79,100
G1S25,nutricion y dietetica,9,25,1,77,81,66,100,73,75,85,85,100,100,100,74,50,100
G1S26,NutriciÃ³n y dietetica,6,22,1,73,80,68,89,100,90,100,100,100,100,100,100,100,100
G1S27,nutriciÃ³n y dietÃ©tica,3,20,1,10,65,74,62,74,90,90,91,100,100,100,100,100,100
G1S28,biologia,3,18,0,17,18,50,21,60,62,32,24,100,95,97,100,95,88
G1S29,Historia,2,17,1,1,23,1,49,51,65,80,59,100,100,86,38,57,100
G1S30,estuios literarios,6,20,1,24,7,68,79,67,83,56,31,100,25,100,15,100,100
g1s31,Enfermeria,3,18,1,23,1,2,100,50,44,22,1,85,100,100,50,50,1
G1S32,comunicaciÃ³n social,3,20,1,1,1,1,87,58,63,64,36,100,100,100,100,80,100
G1S33,ComunicaciÃ³n Social,4,23,0,19,3,13,24,54,47,80,80,100,100,100,100,100,100
G1S34,ingenieria industrial,1,17,0,1,1,1,1,36,36,33,24,100,100,86,100,95,100
G1S35,biologia,,24,1,65,8,10,1,63,67,69,74,100,100,100,100,100,84
g1s36,Economia,9,22,0,11,10,11,15,61,62,93,100,1,8,65,78,1,50
G1S37,diseÃ±o industrial,8,21,1,1,3,1,12,26,70,73,86,100,100,100,100,100,100
G1S38,derecho,4,20,1,1,14,74,13,91,78,80,15,20,71,6,1,1,100
G1S39,derecho,2,20,0,1,59,64,1,91,89,86,100,5,73,100,48,50,100
G1S40,SociologÃ­a,2,19,1,100,65,49,71,100,100,83,84,100,100,100,100,100,100
G1S41,ingenieria industrial,6,22,0,94,100,100,89,100,100,100,100,100,100,100,100,100,100
G1S42,ingenieria industrial,6,20,[],10,12,90,85,31,66,56,81,81,33,100,100,100,50
G1S43,arquitectura,1,16,1,19,1,18,60,65,83,81,56,100,100,85,1,100,100
G1S44,economÃ­a,3,20,[],61,1,22,77,67,64,63,65,52,29,79,1,100,93
G1S45,ingenieria civil,5,18,1,16,62,17,65,79,88,85,63,100,100,89,100,100,100
G1S46,derecho,8,22,0,64,65,66,86,81,34,79,60,100,100,100,100,100,100
G1S47,Ingenieria Civil,5,21,0,1,1,1,1,70,83,1,24,25,50,79,100,100,77
G1S48,administracion de empresas,6,23,0,75,65,100,100,81,100,100,86,100,100,100,100,100,100
G1S49,ing civil,5,21,0,46,1,50,50,18,16,1,1,100,1,85,74,65,76
G1S50,ciencia politica,2,19,1,11,61,36,73,65,67,44,13,100,71,100,100,29,100
G1S52,economia,5,19,0,1,1,11,1,32,21,38,62,94,91,91,96,95,86
G1S53,Economia,5,19,0,9,1,7,8,56,65,60,35,100,100,100,27,100,100
G1S54,ciencia polÃ­tica,1,18,1,1,1,1,63,49,44,81,50,100,100,100,100,100,44
G1S55,ingenieria industrial,2,18,1,1,13,100,1,73,75,77,42,100,100,100,100,100,100
g1s56,ingenieria de sistemas,3,19,0,23,1,25,70,83,88,84,84,75,77,88,44,35,100
g1s57,economia,5,19,0,1,1,1,1,73,78,78,72,50,16,100,75,92,80
g1s58,administracion de empresas,5,19,0,1,65,26,1,59,65,35,63,96,95,95,98,97,97
g1s60,enfermeria,4,19,1,17,15,20,62,56,60,66,33,60,63,30,63,68,48
G1S61,Comunicacion social,3,18,1,4,4,66,1,85,74,100,62,100,100,33,30,31,35
G1S62,Comunicacion social,4,20,0,1,1,23,42,70,76,76,55,100,100,100,74,100,100
G1S63,Ingenieria Industrial,1,17,1,2,1,1,1,50,56,1,73,100,100,49,1,37,100
G1S64,ing sistemas,5,21,0,61,1,78,95,84,83,81,100,100,100,100,100,100,100
G1S65,psicologia,10,23,1,1,63,63,1,69,65,74,35,100,100,100,100,100,100
g1s66,derecho,2,18,1,12,14,15,16,100,100,100,100,100,100,100,100,100,100
g1s67,ingenoeria industrial,12,24,0,63,67,72,70,67,65,68,83,1,11,1,1,16,66
G1S68,PSICOLOGIA ,1,33,1,50,16,26,23,50,50,50,50,100,100,100,100,100,100
G1S69,ingenieria industrial,4,18,0,30,16,87,5,67,73,83,40,100,100,10,16,100,100
g1s70,Administracion,2,18,1,22,13,1,3,84,76,86,62,100,81,100,1,1,100
g1s71,administracion,2,18,0,13,14,11,14,82,71,91,87,67,69,61,55,92,81
G1S72,relaciones internacionales,6,20,[],1,1,1,1,75,71,84,80,100,100,100,100,100,1
G1S73,PSICOLOGIA Y EDUCACION INFANTIL,6,19,1,7,1,6,1,50,58,67,28,100,100,100,100,65,100
G1S74,MicrobiologÃ­a Industrial,4,19,1,12,8,18,50,39,31,4,1,100,100,77,78,89,32
G1S75,MicrobiologÃ­a Industrial,4,19,0,12,1,1,78,61,64,74,50,100,100,74,76,100,100
g1s76,comunicacion,7,23,0,18,71,70,37,77,100,100,82,77,75,76,78,100,100
G1S77,administracion de empresas,7,21,1,1,6,6,50,50,32,74,64,24,21,62,1,100,50
G1S78,DiseÃ±o Industrial,3,19,0,1,1,6,5,39,61,39,54,1,1,65,69,65,4
G1S79,psicologia,8,22,1,11,10,14,16,31,45,41,31,100,100,70,100,50,88
G1S81,diseÃ±o indistrial,4,22,0,1,1,1,76,73,74,11,17,100,100,100,69,100,100
G1S82,EconomÃ­a,7,22,0,27,31,57,65,60,60,80,68,100,100,100,100,100,100
G1S83,Arquitectura,10,22,0,100,100,100,78,81,93,100,100,100,100,100,73,100,52
G1S84,Ingenieria electronica,7,19,0,12,2,12,60,95,94,100,100,100,100,100,100,100,95
G1S85,DiseÃ±o industrial,2,18,0,65,78,78,79,65,70,59,68,100,100,100,100,100,100
G1S87,medicina,7,20,0,1,1,1,81,66,30,35,33,100,100,100,100,100,100
G1S882,medicina,3,19,1,1,11,10,4,26,40,39,23,100,100,63,100,12,100
G1S91,sociologÃ­a,7,20,0,24,1,24,80,84,82,70,85,100,100,100,100,100,100
g1s92,admimistradora publica,10,24,1,1,1,1,20,95,98,95,100,100,100,100,100,100,100
g1s93,AdministraciÃ³n de Empresas,7,20,1,17,71,83,1,72,73,74,75,78,10,1,1,79,95
g1s94,EconomÃ­a,9,23,0,40,1,100,100,73,79,14,47,97,84,64,20,100,74
G1S95,economia,12,22,1,13,1,1,13,59,72,77,36,52,34,89,69,71,91
G1S96,ingenieria industrial,8,21,0,1,1,1,35,41,36,44,61,76,78,50,50,50,79
G1S97,sociologÃ­a,5,18,0,15,58,6,25,82,79,78,88,100,100,100,70,68,100
G1S98,nutricion,9,22,1,1,1,74,1,22,63,75,76,100,100,100,100,100,78
G1S99,ingenieria civil,4,21,0,10,19,68,59,77,64,27,67,1,1,75,1,1,1
G1S100,ciencia de la informacion - bibliotecologia,10,22,1,58,18,90,100,77,79,96,82,100,100,100,100,100,100
G1S101,ingenieria civil,1,17,[],80,66,69,70,78,78,79,71,83,100,25,1,76,1
G1S102,ADMINISTRACION DE EMPRESAS,3,19,1,6,5,16,59,67,77,77,83,89,85,88,91,92,49
G1S103,enfermeria,5,23,1,1,1,1,70,66,36,65,70,100,100,100,100,4,97
G1S104,ARTES VISUALES,3,20,1,10,11,12,1,71,88,78,77,100,100,100,100,100,100
G1S105,derecho,5,19,1,35,61,62,82,73,75,94,66,100,100,70,1,1,100
g1s106,NUTRICION,7,22,1,36,21,21,41,61,72,34,43,100,86,43,75,100,65
g1s107,AdministraciÃ³n de empresas,2,20,1,1,1,75,100,50,86,74,42,100,100,100,100,15,50
g1s108,administracion,2,20,1,1,1,51,50,18,68,76,17,91,14,50,50,1,100
G1S109,administracion de empresas,1,21,0,1,1,1,1,50,50,100,70,1,1,1,1,1,100
G1S110,ingenieria electronica,9,24,0,1,1,1,1,69,72,90,82,100,68,100,100,100,50
G1S111,economia,7,21,0,1,1,1,56,74,71,100,82,100,100,100,81,100,100
G1S112,diseÃ±o,6,22,[],1,1,67,93,44,23,50,17,100,100,100,100,100,100
G1S113,electronica,7,20,0,1,2,3,11,48,63,61,25,100,100,50,50,50,100
G1S114,contadurÃ­a pÃºblica,1,18,1,1,1,70,68,62,66,69,27,62,62,100,39,1,72
