GS,id,subjID,ROL,task,perception
G1S1,1,G1S1,EX GUERRILLERO,INTERTEMP,mas
G1S2,2,G1S2,Ex guerrillero,INTERTEMP,igual
G1S3,3,g1s3,victima,INTERTEMP,igual
G1S4,4,G1S4,EXGUERRILLERO,INTERTEMP,menos
G1S5,5,G1S5,EXPARAMILITAR,INTERTEMP,menos
G1S6,6,g2s6,victima,INTERTEMP,igual
G1S7,7,g2s7,exparamilitar,INTERTEMP,igual
G1S8,8,g2s8,exguerrillero,INTERTEMP,menos
G1S9,9,G1S9,EXPARAMILITAR,INTERTEMP,mas
G1S10,10,G1S10,VICTIMA,INTERTEMP,menos
G1S11,11,G1S11,EXGUERRILLERO,INTERTEMP,igual
G1S12,12,G1S12,EXPARAMILITAR,INTERTEMP,igual
G1S13,13,G1S13,EXPARAMILITAR,INTERTEMP,menos
G1S14,14,G1S14,Exparamilitar,INTERTEMP,igual
G1S15,15,G1S15,Victima,INTERTEMP,menos
G1S16,16,G1S16,Exparamilitar,INTERTEMP,menos
G1S17,17,G1S17,Victima,INTERTEMP,menos
G1S18,18,gs18,exparamilitar,INTERTEMP,menos
G1S19,19,G1S19,EXPARAMILITAR,INTERTEMP,igual
G1S20,20,G1S20,EXPARAMILITAR,INTERTEMP,menos
G1S21,21,G1S21,VICTIMA,INTERTEMP,menos
G1S22,22,G1S22,EXPARAMILITAR,INTERTEMP,menos
G1S23,23,G1S23,EXPARAMILITAR,INTERTEMP,menos
G1S24,24,G1S24,Victima,INTERTEMP,menos
G1S25,25,G1S25,VICTIMA,INTERTEMP,mas
G1S26,26,G1S26,EXGUERRILLERO,INTERTEMP,igual
G1S27,27,G1S27,EXGUERRILLERO,INTERTEMP,mas
G1S28,28,G1S28,EXGUERRILLERO,INTERTEMP,menos
G1S29,29,G1S29,VICTIMA,INTERTEMP,mas
G1S30,30,G1S30,EXGUERRILLERO,INTERTEMP,menos
G1S31,31,G1S31,exguerrillero,INTERTEMP,menos
